"Name","Category","geometry"
"Subway","Fast Food",c(-75.5007674, 40.6971203)
"King Kone","Fast Food",c(-75.5211938, 40.6849081)
"Powelton Pizza","Fast Food",c(-75.1949198, 39.9593485)
"Winger's","Fast Food",c(-75.3480042, 40.0359804)
"Campus Corner Pizza","Fast Food",c(-75.3476952, 40.0359213)
"Arby's","Fast Food",c(-75.0901845, 39.820729)
"Papa John's","Fast Food",c(-75.1235899, 39.8283558)
"McDonald's","Fast Food",c(-75.1490309, 39.8428315)
"McDonald's","Fast Food",c(-74.5433001, 39.3945904)
"McDonald's","Fast Food",c(-74.5981648, 39.3277069)
"Five Guys","Fast Food",c(-73.9766897, 40.7625151)
"Burger King","Fast Food",c(-73.9899489, 41.1417812)
"McDonald's","Fast Food",c(-73.9860549, 41.1541178)
"Popeyes","Fast Food",c(-74.5346386, 39.3919896)
"McDonald's","Fast Food",c(-74.2117668, 39.769392)
"McDonald's","Fast Food",c(-73.9371159, 41.0943362)
"Main Street Family Restaurant & Diner","Fast Food",c(-75.4990124, 40.6902713)
"Canteen","Fast Food",c(-73.9689812, 40.6805189)
"Blimpie","Fast Food",c(-74.4786518, 40.8934686)
"Subway","Fast Food",c(-75.3857626, 40.5854913)
"Panera Bread","Fast Food",c(-74.3050419, 40.2413777)
"Subway","Fast Food",c(-74.4781893, 40.8927343)
"Sweetgreen","Fast Food",c(-75.3831088, 40.0441381)
"Subway","Fast Food",c(-74.3983235, 40.5067995)
"Dunkin'","Fast Food",c(-74.3906073, 40.5088486)
"Muscle Maker Grill","Fast Food",c(-74.3962292, 40.5070018)
"Dunkin'","Fast Food",c(-74.4047, 40.5133316)
"Burger King","Fast Food",c(-75.3098576, 40.3169266)
"Dunkin' Donuts","Fast Food",c(-74.2676043, 40.6766726)
"Burger King","Fast Food",c(-74.6114219, 39.4348204)
"McDonald's","Fast Food",c(-74.6496423, 39.4526902)
"McDonald's","Fast Food",c(-74.5536874, 39.3744517)
"Richland Dairy","Fast Food",c(-74.3864367, 39.3951498)
"Così","Fast Food",c(-75.1269431, 40.0789113)
"Taco Bell","Fast Food",c(-74.1033824, 40.897445)
"Café au bon gout","Fast Food",c(-73.986688, 40.7458981)
"McDonald's","Fast Food",c(-74.5668333, 39.4097337)
"Dunkin' Donuts","Fast Food",c(-74.3975426, 39.3941686)
"Chipotle","Fast Food",c(-75.353399, 39.9382688)
"Dunkin'","Fast Food",c(-73.9442508, 40.7147639)
"Burger King","Fast Food",c(-74.5050134, 39.4281989)
"McDonald's","Fast Food",c(-74.5110828, 39.4314167)
"McDonald's","Fast Food",c(-73.9404458, 40.7220373)
"Sweetgreen","Fast Food",c(-73.9647166, 40.8073542)
"Subway","Fast Food",c(-74.6507292, 40.4064548)
"Stewarts","Fast Food",c(-74.0035032, 40.4053581)
"Five Guys","Fast Food",c(-74.0043649, 41.0938583)
"McDonald's","Fast Food",c(-75.1911543, 39.939472)
"Dunkin'","Fast Food",c(-74.6097267, 39.4336302)
"Phoebe's Bar-B-Q","Fast Food",c(-75.1791828, 39.9452666)
"Carlucci's Express","Fast Food",c(-74.8627399, 40.1988108)
"Einstein Bros. Bagels","Fast Food",c(-74.8637485, 40.1981798)
"Qdoba","Fast Food",c(-75.2029524, 39.9531356)
"Così","Fast Food",c(-75.1949927, 39.9535857)
"Custom Burgers","Fast Food",c(-74.1738311, 40.6948106)
"Taco Bell Cantina","Fast Food",c(-73.9926431, 40.7529683)
"Chick-fil-A","Fast Food",c(-75.1906391, 39.9588981)
"Lok Yuan Chinese","Fast Food",c(-75.390852, 40.6036016)
"2 Bros. Pizza","Fast Food",c(-73.9934438, 40.7569564)
"Moe's Southwest Grill","Fast Food",c(-74.1645128, 41.078743)
"Dunkin'","Fast Food",c(-74.1661736, 41.0786783)
"Dunkin' Donuts","Fast Food",c(-74.1465104, 41.0999045)
"Dairy Queen","Fast Food",c(-74.1448045, 41.0984169)
"Dunkin'","Fast Food",c(-74.7980989, 40.3361755)
"Sbarro","Fast Food",c(-74.1879756, 41.1514068)
"Dunkin'","Fast Food",c(-74.1879578, 41.1512229)
"Burger King","Fast Food",c(-74.1879672, 41.1513185)
"Dunkin'","Fast Food",c(-73.8850627, 41.2015942)
"Wendy's","Fast Food",c(-74.1253245, 40.402662)
"Dunkin'","Fast Food",c(-74.9748162, 40.759991)
"Dunkin'","Fast Food",c(-75.3127329, 40.7316918)
"Panera Bread","Fast Food",c(-74.1193167, 40.9390549)
"S&P Sandwich Shop","Fast Food",c(-73.9901665, 40.7411174)
"Gloria's","Fast Food",c(-73.9504079, 40.6724269)
"Common Thread","Fast Food",c(-75.1925698, 40.0228631)
"Subway","Fast Food",c(-74.6357081, 39.4511743)
"Taco Bell","Fast Food",c(-74.6325217, 39.4532495)
"Kook Burger","Fast Food",c(-74.3868484, 39.3956563)
"Kohlberg Coffee Bar","Fast Food",c(-75.3548744, 39.9058342)
"Essie Mae's Snack Bar","Fast Food",c(-75.3549893, 39.9042012)
"Wendy's","Fast Food",c(-74.2942937, 41.0082734)
"Renato Pizza","Fast Food",c(-75.3500099, 39.9019415)
"Red Hook Ball Field Food Trucks","Fast Food",c(-74.002835, 40.671485)
"Dunkin'","Fast Food",c(-75.350256, 39.902047)
"Dunkin' Donuts","Fast Food",c(-74.6205926, 40.6543897)
"Chipotle","Fast Food",c(-75.2936379, 40.0096584)
"Happy Garden","Fast Food",c(-75.183599, 40.1168521)
"A Taste of Philly","Fast Food",c(-75.1680839, 40.1444994)
"Primo Hoagies","Fast Food",c(-75.1679877, 40.1444112)
"Pizza and Pasta House","Fast Food",c(-75.1664396, 40.1306292)
"Nick's Pizzeria","Fast Food",c(-75.1675196, 40.1456513)
"Udder Delight","Fast Food",c(-75.1681865, 40.1446072)
"Angelo's Pizza","Fast Food",c(-74.6490114, 40.5015643)
"Burger King","Fast Food",c(-75.1280054, 40.0071433)
"Dunkin'","Fast Food",c(-75.1217613, 40.0253764)
"Subway","Fast Food",c(-75.3788543, 40.622443)
"Dunkin'","Fast Food",c(-75.1130194, 40.0112059)
"Prince Pizza","Fast Food",c(-75.1222623, 40.0214296)
"Dunkin'","Fast Food",c(-75.1303644, 40.0146826)
"McDonald's","Fast Food",c(-75.1189846, 40.0124179)
"Wendy's","Fast Food",c(-75.1128371, 40.0116059)
"Subway","Fast Food",c(-74.7167813, 40.8886971)
"Burger King","Fast Food",c(-75.147234, 40.679391)
"Panera Bread","Fast Food",c(-75.1504722, 40.6837667)
"Belmont Grill","Fast Food",c(-74.1886834, 40.9518849)
"Dunkin' Donuts","Fast Food",c(-74.4652779, 40.8426779)
