,Rank,MedianHouseholdIncome,Zip,Population,geometry,Longitude,Latitude
1,1,250001,7970,132,POINT (-74.5727555 40.80769119),-74.5727555,40.80769119
2,2,235172,7078,12737,POINT (-74.33379415 40.742104),-74.33379415,40.742104
3,3,231667,7976,558,POINT (-74.48662988 40.72305781),-74.48662988,40.72305781
4,4,216484,8248,106,POINT (-74.6623065 39.1932041),-74.6623065,39.1932041
5,5,198790,7311,384,POINT (-74.03273552 40.71711121),-74.03273552,40.71711121
6,6,193450,7931,3348,POINT (-74.61875925 40.68203237),-74.61875925,40.68203237
7,7,191563,7934,1620,POINT (-74.66425937 40.72351561),-74.66425937,40.72351561
8,8,190417,8858,102,POINT (-74.735244 40.67491266),-74.735244,40.67491266
9,9,180120,8550,19510,POINT (-74.61742168 40.2809748),-74.61742168,40.2809748
10,10,173800,7021,2122,POINT (-74.279737 40.82533951),-74.279737,40.82533951
11,11,173596,7979,518,POINT (-74.72756118 40.70256051),-74.72756118,40.70256051
12,12,168868,7458,11480,POINT (-74.09711301 41.04583529),-74.09711301,41.04583529
13,13,168352,7028,7685,POINT (-74.205164 40.80194393),-74.205164,40.80194393
14,14,166250,8558,6680,POINT (-74.70392517 40.41354582),-74.70392517,40.41354582
15,15,164773,7046,4267,POINT (-74.44057584 40.89062458),-74.44057584,40.89062458
16,16,163458,7043,12932,POINT (-74.20051388 40.84422553),-74.20051388,40.84422553
17,17,163256,7842,143,POINT (-74.502146 40.94638981),-74.502146,40.94638981
18,18,157583,8502,11587,POINT (-74.65568952 40.44827501),-74.65568952,40.44827501
19,19,154615,7452,11784,POINT (-74.12486427 40.95996875),-74.12486427,40.95996875
20,20,153657,7417,10726,POINT (-74.20819274 41.00849774),-74.20819274,41.00849774
21,21,153125,7423,4125,POINT (-74.09733586 41.00007983),-74.09733586,41.00007983
22,22,152481,8535,5828,POINT (-74.44022022 40.23603076),-74.44022022,40.23603076
23,23,152355,7310,12523,POINT (-74.04585742 40.73306915),-74.04585742,40.73306915
24,24,149375,7945,9608,POINT (-74.59799219 40.78131792),-74.59799219,40.78131792
25,25,147788,7641,3419,POINT (-73.99763793 40.96220095),-73.99763793,40.96220095
26,26,146389,7092,6765,POINT (-74.360529 40.68094473),-74.360529,40.68094473
27,27,146200,7627,4929,POINT (-73.95676671 40.95499921),-73.95676671,40.95499921
28,28,146181,7853,13420,POINT (-74.78577623 40.78498647),-74.78577623,40.78498647
29,29,145192,8246,177,POINT (-74.76580567 39.18096495),-74.76580567,39.18096495
30,30,144233,7059,15729,POINT (-74.51483043 40.63226547),-74.51483043,40.63226547
31,31,144222,7649,8080,POINT (-74.03136312 40.95625969),-74.03136312,40.95625969
32,32,142107,7974,12173,POINT (-74.40318016 40.6972999),-74.40318016,40.6972999
33,33,141979,7930,8399,POINT (-74.68689782 40.78009605),-74.68689782,40.78009605
34,34,141964,7481,16877,POINT (-74.1675127 40.99881033),-74.1675127,40.99881033
35,35,141401,7450,25287,POINT (-74.11259714 40.9821284),-74.11259714,40.9821284
36,36,140923,7670,14672,POINT (-73.95703581 40.91883093),-73.95703581,40.91883093
37,37,140649,7746,19613,POINT (-74.24981704 40.31806064),-74.24981704,40.31806064
38,38,140000,7704,6093,POINT (-74.03832446 40.35964182),-74.03832446,40.35964182
39,39,138273,7928,19335,POINT (-74.41266713 40.72607483),-74.41266713,40.72607483
40,40,138201,7632,5439,POINT (-73.95067975 40.88370777),-73.95067975,40.88370777
41,41,137867,7090,30735,POINT (-74.3462755 40.64888869),-74.3462755,40.64888869
42,42,137724,7677,5785,POINT (-74.0551785 41.02109561),-74.0551785,41.02109561
43,43,137665,7039,29617,POINT (-74.32907722 40.78558266),-74.32907722,40.78558266
44,44,136509,8836,3868,POINT (-74.55527016 40.59637355),-74.55527016,40.59637355
45,45,136344,7739,5920,POINT (-74.03864941 40.33621296),-74.03864941,40.33621296
46,46,135806,7751,19077,POINT (-74.262746 40.37083907),-74.262746,40.37083907
47,47,135536,7722,10154,POINT (-74.16948188 40.28482649),-74.16948188,40.28482649
48,48,135192,8560,3788,POINT (-74.8591111 40.3135025),-74.8591111,40.3135025
49,49,135114,7640,4736,POINT (-73.98020506 40.9898773),-73.98020506,40.9898773
50,50,134849,7922,12383,POINT (-74.42836872 40.67515383),-74.42836872,40.67515383
51,51,134660,8534,13328,POINT (-74.79270558 40.33012677),-74.79270558,40.33012677
52,52,134180,7733,16657,POINT (-74.17257216 40.37663778),-74.17257216,40.37663778
53,53,132407,8525,4916,POINT (-74.78325913 40.3962526),-74.78325913,40.3962526
54,54,132250,7620,1710,POINT (-73.92410176 40.96444263),-73.92410176,40.96444263
