"","osm_id","name","Block_number","City","Country","County","Housenumber","State","Postcode","Street","geometry"
"259498279","259498279","Subway",NA,NA,NA,NA,"2430",NA,NA,NA,c(-75.5007674, 40.6971203)
"259501643","259501643","King Kone",NA,NA,NA,NA,NA,NA,NA,NA,c(-75.5211938, 40.6849081)
"274215467","274215467","Powelton Pizza",NA,NA,NA,NA,NA,NA,NA,NA,c(-75.1949198, 39.9593485)
"296295493","296295493","Winger's",NA,"Villanova",NA,NA,"819",NA,NA,"Lancaster Avenue",c(-75.3480042, 40.0359804)
"296295496","296295496","Campus Corner Pizza",NA,NA,NA,NA,"829",NA,NA,"Lancaster Avenue",c(-75.3476952, 40.0359213)
"314324340","314324340","Arby's",NA,NA,NA,NA,NA,NA,NA,NA,c(-75.0901845, 39.820729)
"314353041","314353041","Papa John's",NA,NA,NA,NA,NA,NA,NA,NA,c(-75.1235899, 39.8283558)
"318912048","318912048","McDonald's",NA,NA,NA,NA,NA,NA,NA,NA,c(-75.1490309, 39.8428315)
"319133145","319133145","McDonald's",NA,NA,NA,NA,NA,NA,NA,NA,c(-74.5433001, 39.3945904)
"321040609","321040609","McDonald's",NA,NA,NA,NA,NA,NA,NA,NA,c(-74.5981648, 39.3277069)
"349323821","349323821","Five Guys",NA,"New York",NA,NA,"43","NY","10019","West 55th Street",c(-73.9766897, 40.7625151)
"356376514","356376514","Burger King",NA,NA,NA,NA,NA,NA,NA,NA,c(-73.9899489, 41.1417812)
"356384665","356384665","McDonald's",NA,"New City","US","Rockland","33","NY","10956","West Cavalry Drive",c(-73.9860549, 41.1541178)
"357747745","357747745","Popeyes",NA,NA,NA,NA,NA,NA,NA,NA,c(-74.5346386, 39.3919896)
"359928524","359928524","McDonald's",NA,NA,NA,NA,NA,NA,NA,NA,c(-74.2117668, 39.769392)
"359997416","359997416","McDonald's",NA,"Nyack",NA,NA,"55","NY","10960","Route 59",c(-73.9371159, 41.0943362)
"367983924","367983924","Main Street Family Restaurant & Diner",NA,"Northampton",NA,NA,"2023","PA","18067","Main Street",c(-75.4990124, 40.6902713)
"403524005","403524005","Canteen",NA,NA,NA,NA,"643",NA,"11238","Dean Street",c(-73.9689812, 40.6805189)
"462834909","462834909","Blimpie",NA,"Denville",NA,NA,NA,NA,NA,"W Main St",c(-74.4786518, 40.8934686)
